Time | reset | en_write | reg_write | write_data | size | high_low | read1 | read2
 10ns | 1 | 0 | 0 | 0000 | 1 | 0 | 0000 | 0000
 20ns | 0 | 0 | 0 | 0000 | 1 | 0 | 0000 | 0000
 30ns | 0 | 1 | 0 | abcd | 1 | 0 | 0000 | 0000
 40ns | 0 | 0 | 0 | abcd | 1 | 0 | abcd | abcd
 50ns | 0 | 1 | 1 | 00ef | 0 | 0 | abcd | abcd
 60ns | 0 | 1 | 1 | 0012 | 0 | 1 | abcd | abcd
 70ns | 0 | 0 | 1 | 0012 | 0 | 1 | abcd | abcd
 80ns | 0 | 1 | 2 | 3456 | 1 | 1 | 12ef | abcd
 90ns | 0 | 1 | 3 | 789a | 1 | 1 | 12ef | abcd
100ns | 0 | 0 | 3 | 789a | 1 | 1 | 12ef | abcd
110ns | 0 | 1 | 4 | fffc | 1 | 1 | 3456 | 789a
120ns | 0 | 1 | 5 | aabb | 1 | 1 | 3456 | 789a
130ns | 0 | 1 | 6 | ccdd | 1 | 1 | 3456 | 789a
140ns | 0 | 1 | 7 | eeff | 1 | 1 | 3456 | 789a
150ns | 0 | 0 | 7 | eeff | 1 | 1 | 3456 | 789a
160ns | 0 | 0 | 7 | eeff | 1 | 1 | fffc | eeff
